NOM,,,adresse,adresse secondaire,accès Transports,numéro,mail,description,grandes catégories,sous catégrories,services,public accueilli,Horaires,,hommes/femmes/enfants,ages
PIMMS LYON Mermoz,45.7290017,4.8851324,"34 Rue de Narvik, 69008 Lyon",,,,,"Le PIMMS est une structure de médiation sociale qui propose des services adaptés aux habitants de la métropole et en particulier des QPV (Quartiers politiques de la ville). Les médiateurs accueillent les habitants sur des points de proximité du territoire et peuvent aussi aller à leur contact par téléphone, à leur domicile ou sur des espaces publics tels que les bureaux de Poste, les Gares ou à bord des trains. Le PIMMS propose également sur chacun des points d’accueil, un espace numérique permettant l’accès aux services dématérialisés (ordinateurs, logiciels, accès à internet, impressions…). Le PIMMS s’engage dans la professionnalisation de ses salariés pour favoriser un retour à un emploi durable. ",,,médiation socaile | animation numérique | tremplin professionnel,,sans RDV du lundi au vendredi de  9h à 12h et de 13h30 à 17h30 | Sur RDV pour les demandes de naturalisation française,,,
PIMMS LYON Vaise,45.7726636,4.8051993,"5 Place Dumas de Loire, 69009 Lyon",,,,,"Le PIMMS est une structure de médiation sociale qui propose des services adaptés aux habitants de la métropole et en particulier des QPV (Quartiers politiques de la ville). Les médiateurs accueillent les habitants sur des points de proximité du territoire et peuvent aussi aller à leur contact par téléphone, à leur domicile ou sur des espaces publics tels que les bureaux de Poste, les Gares ou à bord des trains. Le PIMMS propose également sur chacun des points d’accueil, un espace numérique permettant l’accès aux services dématérialisés (ordinateurs, logiciels, accès à internet, impressions…). Le PIMMS s’engage dans la professionnalisation de ses salariés pour favoriser un retour à un emploi durable. ",,,médiation socaile | animation numérique | tremplin professionnel,,sans RDV du lundi au vendredi de  9h à 12h et de 13h30 à 17h30 | Sur RDV pour les demandes de naturalisation française,,,
PETITS FRERES DES PAUVRES - accueil de Jour,45.7512683,4.8321153,38 quai du docteur Gailleton 69002 Lyon,,,,,Une équipe d’accueil des grands précaires et des isolés âgés de la rue,,,petit déjeuner | douche | machine à laver | temps de rencontre et d'échange,personnes de plus de 50 ans,"lundi, mercredi et vendredi de 8h30 à 12h00",,,
OREE AJD,45.7542488,4.8292622,6 rue d'auvergne 69002 lyon ,,,04 78 92 88 11,oree@fondation-ajd.com,"L’Orée a pour mission l’accueil en urgence de jeunes majeurs âgés de 18 à 25 ans, (personnes seules ou en couple, avec ou sans enfant) en situation de rupture familiale et en grande difficulté socioprofessionnelle.",,,"hébergement d'urgence | accueil de jour | sanitaires | laverie | banque alimentaire | domicliation | accompagnement renforcé au logement, à l'autonomie et à la réinsertion","jeunes majeurs âgés de 18 à 25 ans,  en situation de rupture familiale et en grande difficulté socioprofessionnelle",,,,
Forum réfugiés-Cosi ,45.7488339,4.8529001,326 rue Garibaldi 69003 Lyon,,,,,"association sans but lucratif œuvrant pour l'accueil des réfugiés, la défense du droit d'asile et la promotion de l’état de droit, issue de la fusion en mai 2012, des associations Forum réfugiés et Cosi–promouvoir et défendre les droits. ",,,accueil des demandeurs d’asile et les réfugiés | domiciliation ,demandeurs d'asiles et réfugiés,,,,
Agence locative sociale du rhone,45.7539689,4.8486875,"250, rue de Créqui 69003 Lyon",,,04.78.95.22.49,,Interface entre des régies privées et des personnes qui rencontrent des difficultés à trouver un appartement. Rôle de médiation si ces personnes sont suffisamment autonomes pour bénéficier d'un logement de droit commun,LOGEMENT ,,,tous,,,,
Association collective pour l'acces au logement,45.7547011,4.8489124,"259, rue de Créqui 69003 Lyon",,,04.72.84.74.10,,"Aides à l'accès au logement des populations en difficulté sur le département du Rhône. Les demandes se font obligatoirement par l'intermédiaire d'un service social, public ou privé",LOGEMENT ,,,tous,,,,
Association departementale d'information sur le logement,45.7649134,4.8430501,"9, rue Vauban 69006 Lyon",,,04.78.52.84.84,www.adil.org/69,"L'ADIL a pour mission de donner des conseils gratuits, neutres et personnalisés, dans les domaines juridiques, financiers et fiscaux relatifs au logement",LOGEMENT ,Information sur les Droits,,tous,,,,
Mairie du 1er arrondissement,45.7691420,4.8306090,place Sathonay - 69283 Lyon cedex 01,,"Bus C13, C18, s6 et s12 - Velo'v",04 72 98 54 04,http://www.mairie1.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires :
o Lundi, mardi, mercredi et vendredi : 8h45 - 16h45
o Jeudi : 10h - 16h45
o Samedi : 9h30 - 12h
Horaires vacances scolaires : 
o Lundi, mardi, mercredi et vendredi : 8h45 - 12h30 et 13h45 - 16h45
o Jeudi : 10h - 12h30 et 13h45 -16h45
o Samedi : 9h30 - 12h avec un service restreint : seules les remises de titre (cartes d’identités, passeports) , les reconnaissances et les cérémonies de mariage sont assurés.
",,,
Mairie du 2e arrondissement,45.7532670,4.8268565,2 rue d'Enghien - 69287 Lyon cedex 02,,Métro A et bus s1,04 78 92 73 00,https://mairie2.lyon.,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires : 
Du lundi au vendredi : 8h45 - 16h45 sans interruption
Samedi : 9h30 - 12h
Fermeture chaque jeudi de 12h à 14h 
Horaires vacances scolaires :
Du lundi au vendredi : 8h45-12h30 et 13h45-16h45
Samedi : 9h30-12h.
",,,
Mairie du 3e arrondissement,45.7602325,4.8490968,215 rue Duguesclin - 69423 Lyon cedex 03,18 rue François Garcin 69003,"Métro B, tram T1, bus C9 et C13 -",04 78 95 83 50,http://www.mairie3.lyon.fr ,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Du lundi au vendredi : 8h45 - 16h45
Samedi : 9h - 12h - pas d'accueil téléphonique pour le service carte d'identité/passeport
o Ouverture à 10h le premier mardi de chaque mois
o Service état civil : fermé tous les mardis matin
o Point Accueil Information Petite Enfance (PAIPE) fermé :
- le mercredi après -midi et le vendredi matin.
- les jours de commission : en cas d'urgence, contacter le service par mail.
o Accueil sur rendez-vous pour le dépôt d’un dossier de mariage, la demande d’un passeport ou d’une carte nationale d’identité, la demande d’un logement social
Horaires pendant les vacances scolaires :
Du lundi au vendredi : 8h45 - 12h30 et 13h45 - 16h45
Samedi : 9h - 12h
",,,
Mairie du 4e arrondissement,45.7745471,4.8277372,133 boulevard de la Croix-Rousse - 69317 Lyon cedex 04,,"04Métro C (station Croix-Rousse) - bus C13, n°45, s4 et s12 -",04 72 98 23 50,http://www.mairie4.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"
Horaires hors vacances scolaires :
Du lundi au vendredi :  8h45 - 16h45
Fermeture de 12h à 14h30 les premiers mardis de chaque mois
Samedi : 9h30 - 12h 
Horaires vacances scolaires :
Du lundi au vendredi : 8h45 - 12h15 et 13h45 - 16h45
Samedi : 9h30 - 12h
",,,
Mairie du 5e arrondissement,45.7577539,4.8014601,14 rue Docteur Edmond Locard 69005,,www.tcl.fr,04 72 38 45 50,http://www.mairie5.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires :
Lundi : 8h45 - 12h30 et 14h - 16h45
Les mardis, mercredis et vendredis : 8h45 - 16h45
Jeudi : 8h45 - 18h
Samedi : 9h-12h (Titres d’identité, état civil et élections. Les autres services sont sur RDV uniquement).
Horaires vacances scolaires :
Du lundi au vendredi : 8h45 - 12h30 et 13h45 - 16h45
Samedi : 9h - 12h (permanence uniquement pour les retraits de titres (CNI et passeports), ainsi que pour les cérémonies de mariage)
Horaires d’été* :
Du lundi au vendredi : 8h45 - 12h30 et 13h45 - 16h45
Samedi : 9h - 12h (permanence uniquement pour les retraits de titres (CNI et passeports), ainsi que pour les cérémonies de mariage)
* La période concernée sera communiquée ultérieurement.
Passeport biométrique et carte nationale d'identité :
Rendez-vous obligatoire entre 9h et 16h20
Samedi matin de 9h à 11h40 (heure du dernier rendez-vous)
",,,
Mairie du 5e - annexe Vieux-Lyon ,45.7635388,4.8274742,5 place du Petit Collège 69005 Lyon,,www.tcl.fr,04 78 42 13 81,http://www.mairie5.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires :
Du lundi au vendredi : 8h45-12h15 et 13h15-16h45
Samedi : 9h-12h (tous les services proposés la semaine sont assurés)
Pas de permanence les jeudis soirs
 
 
Horaires vacances scolaires :
Du lundi au vendredi : 8h45-12h30 et 13h45-16h45
Samedi : 9h-12h (fermée en été)
 
Passeport biométrique et carte nationale d'identité :
Rendez-vous obligatoire entre 9h et 16h20
Samedi matin de 9h à 11h40 (heure du dernier rendez-vous
",,,
Mairie du 6e arrondissement,45.7683601,4.8493258,58 rue de Sèze 69006 Lyon,,ligne A (Station Massena) - Bus 38,04 72 83 15 00,http://www.mairie6.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires :
Du lundi au vendredi : 8h45 - 16h45
Samedi : 9h30 - 12h  (tous les services proposés pendant la semaine sont assurés).
Ouverture au public à 9h45 le 1er mardi du mois.
Horaires vacances scolaires :
Du lundi au vendredi : 8h45-12h30 et 13h45-16h45 
Samedi : 9h30 - 12h
",,,
Mairie du 7e arrondissement,45.7463381,4.8416707,16 place Jean Macé - 69361 Lyon cedex 07,,"Métro ligne B (station Jean Macé) - tram T2 - Bus C4, C7, C12, C14, n°35, s3 et Zi6.",04 72 73 68 00,http://www.mairie7.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires :
Du lundi au vendredi : 8h45 - 16h45
Samedi : 9h30 - 12h
Point Accueil Information Petite Enfance (PAIPE) : fermé le mardi matin et le jeudi après-midi
Horaires vacances scolaires :
Fermeture de 12h30 à 13h45
",,,
Mairie du 8e arrondissement,45.7346103,4.8731018,12 avenue Jean Mermoz - 69373 Lyon Cedex 08,,"Tramway T2, bus C15, C23 et 26 ",04 72 78 33 00,http://www.mairie8.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires
Les lundis, mercredis et vendredis : 8h45 - 16h45
Le mardi : de 8h45 -16h45 sauf tous les 1ers mardis du mois : 10h - 1645
Les jeudis : 12h15 - 19h45
Permanences supplémentaires uniquement pour le retrait des cartes d’identité et passeports les jeudis et samedis de 8h45 à 12h. 
 Horaires vacances scolaires
Les lundis, mardis, mercredis et vendredis : 8h45-12h30 et 13h45-16h45
Les jeudis : 12h15-19h45
",,,
Mairie du 9e arrondissement,45.7739826,4.8058737,6 place du Marché 69009 Lyon,,"Métro D, Bus 19 et 45 ",04 72 19 81 81,http://www.mairie9.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),"Horaires hors vacances scolaires :
Du lundi au vendredi :  8h45 - 16h45
Samedi : 9h30 - 12h (uniquement services population : Affaires publiques, Elections, Etat civil, Point Conseil)
Fermeture tous les mardis de 12h15 à 14h
Horaires vacances scolaires :
Du lundi au vendredi : 8h45 - 12h30 et 13h30 - 16h45
Samedi : 9h30 - 12h (pendant les vacances d’été, les services de la mairie sont ouverts le samedi matin uniquement pour les retraits de titres d'identité (cartes d’identité et passeports) et les célébration de mariages)
Passeport biométrique et carte nationale d'identité :
Sur rendez-vous uniquement.
Samedi : 9h30 - 12h
Du lundi au vendredi : 9h - 12h et 14h - 16h45
",,,
Mairie du 9e - annexe Duchère,45.7852856,4.7952775,5 avenue du Plateau 69009 Lyon,,Bus C14 (arrêt Plateau) et C6 (arrêt Martinière-Duchère),04 78 66 80 70,http://www.mairie9.lyon.fr,mairie d'arrondissement,ACCES AUX DROITS | ENFANCE PETITE ENFANCE 6 LOGEMENT  |  SENIORS ,documents administratifs | demande de logement social | Mode de garde | scolarité,dépôt de dossier de demande de logement social | demande de place en crèche | inscriptions scolaire | documents d'identité | démarches d'état civil,habitant de l'arrondissement (sauf titre d'identité : tout public),Du lundi au vendredi : 9h à 12h et 14h à 16h45,,,
MAISON DE l'HABITAT,45.7520013,4.8492562,281 rue de Créqui 69006 Lyon,,,04 37 70 67 47,,"La Maison de l’Habitat est un lieu de services aux ménages en difficultés d’habitat qui propose accueil, information et soutien aux personnes et aux partenaires ",LOGEMENT ,,accueil physique et téléphonique | atelier DALO | atelier d'informations ,,"Accueil téléphonique, les mardi, mercredi, jeudi – de 9h00 à 12h30 | Accueil sur rendez-vous, les mardi & jeudi – de 9h00 à 12h30 | Atelier DALO, le mercredi à 14h00 – sur inscription préalable |-Atelier Connaissance du Parc Social, le jeudi à 14h00 – sur inscription préalable",,,
MAISON DES JEUNES ET DE LA CULTURE DE MONPLAISIR,45.7460048,4.8634529,25 Avenue des Frères Lumière 69008 Lyon,,,04 72 78 05 70,accueil@mjcmonplaisir.net,"Favoriser l'autonomie et l'épanouissement des personnes, permettre à tous d'accéder à l'éducation et à la culture, afin que chacun participe à la construction d'une société plus solidaire et plus juste. Contribuer au développement des liens sociaux.",CULTURE/SOCICULTUREL | LOISIRS,animation sociale | activités sportive ou culturelle,,,,,,
MAISON DES JEUNES ET DE LA CULTURE DE SAINT-RAMBERT,45.7967133,4.8215537,"8, rue Ernest Fabrègue 69009 Lyon",,, 04.78.83.29.68,mjc@mjcstrambert.info,"Favoriser l'autonomie et l'épanouissement des personnes, permettre à tous d'accéder à l'éducation et à la culture, afin que chacun participe à la construction d'une société plus solidaire et plus juste. Contribuer au développement des liens sociaux.",CULTURE/SOCICULTUREL | LOISIRS,animation sociale | activités sportive ou culturelle,,,,,,
MAISON DES JEUNES ET DE LA CULTURE DUCHÈRE,45.7831152,4.7967558,237 Rue des Erables 69009 Lyon,,,04 78 35 39 21,contact@mjcduchere.org,"Favoriser l'autonomie et l'épanouissement des personnes, permettre à tous d'accéder à l'éducation et à la culture, afin que chacun participe à la construction d'une société plus solidaire et plus juste. Contribuer au développement des liens sociaux.",CULTURE/SOCICULTUREL | LOISIRS,animation sociale | activités sportive ou culturelle,,,,,,
MAISON DES JEUNES ET DE LA CULTURE LAËNNEC MERMOZ,45.7339225,4.8850278,21 Rue Genton 69008 Lyon,,,04 37 90 55 90,info@mjclaennecmermoz.fr,"Favoriser l'autonomie et l'épanouissement des personnes, permettre à tous d'accéder à l'éducation et à la culture, afin que chacun participe à la construction d'une société plus solidaire et plus juste. Contribuer au développement des liens sociaux.",CULTURE/SOCICULTUREL | LOISIRS,animation sociale | activités sportive ou culturelle,,,,,,
CENTRE SOCIAL BONNEFOI,45.7555924,4.8456701,5 Rue Bonnefoi 69003 Lyon,,,04 72 61 97 43,contact@csbonnefoi.fr,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
CENTRE SOCIAL DE CHAMPVERT,45.7641565,4.7917535,204 Avenue Barthélémy Buyer 69009 Lyon,,,04 78 25 07 59,cschampvert.accueil@orange.fr,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
CENTRE SOCIAL DE LA SAUVEGARDE,45.7870098,4.7915896,26 Avenue Rosa Parks 69009 Lyon,,,04 78 35 77 47,accueil@centresocial.com,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
CENTRE SOCIAL DE SAINT JUST,45.7567155,4.8206952,31 Rue des Farges 69005 Lyon,,,04 78 25 35 78,centre.soc.st.just@free.fr,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
CENTRE SOCIAL DE SAINT-RAMBERT,45.8012546,4.8318877,4 Rue Sylvain Simondan 69009 Lyon,,,04 78 83 98 76,cstrambert@wanadoo.fr,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
CENTRE SOCIAL DES ÉTATS UNIS,45.7305390,4.8654804,73 Rue Jean Sarrazin 69008 Lyon,,,04 78 74 50 29,accueil@csetats-unis.org,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
CENTRE SOCIAL DUCHÈRE PLATEAU RENÉ MAUGIUS,45.7831533,4.7949604,235 Avenue du Plateau 69009 Lyon,,,04 78 35 31 33,csplateau@free.fr,"Le centre social est « la maison des habitants d’un territoire » (un quartier en zone urbaine, une commune ou plusieurs en zone rurale). Porté par et pour ces habitants, il entend permettre l’épanouissement de chacun (notamment en améliorant la vie quotidienne de tous) et favoriser la mobilisation citoyenne (notamment en faisant entendre la parole des habitants)..",CULTURE SOCIOCULTUREL | LOISIRS | PARENTALITE,,,,,,,
